repo,cloned,total_commits,earliest_todo_issue,pre_earliest_issue_commits
ezzabuzaid/angular-buildozer,True,590,1560112175.0,18
ezzabuzaid/document-storage,True,86,1561576903.0,6
ezzabuzaid/flutter-poc,True,40,1562351233.0,1
ezzabuzaid/form-validators,True,19,1564479928.0,1
ezzabuzaid/node-buildozer,True,528,1559432223.0,46
ezzabuzaid/web-validators,True,8,1581199120.0,6
F-S-C/Emotionally,True,751,1579636658.0,24
fahadsiddiqui/cpplibs,True,7,1591606869.0,5
FakeSend/Ncurses-DungeonCrawler,True,81,1594281110.0,63
Fancy11111/API-SPA-Showcase,True,5,1574934003.0,5
Fancy11111/webcomponents-lib,True,9,1563579105.0,8
fangjinuo/langx-java,True,1166,1565707814.0,91
fangjinuo/sqlhelper,True,1259,1564098879.0,266
faster-than-light/github-app,True,4,1574304787.0,0
fatihGunalp/MVCBlogProject,True,125,1573039099.0,87
fatihGunalp/YMS3137,True,157,1582708357.0,61
fatihGunalp/YMS3519,True,69,1588516727.0,48
fawkesrobotics/fawkes,True,10134,1575377957.0,9881
felipecandian/Flutter_APP_contadorPessoas,True,3,1578018568.0,2
Fellowship-of-the-Bus/Draconia-Unity,True,1634,1577912237.0,1507
fennecdjay/Gwion,True,5980,1516409101.0,2921
fernandoabolafio/dcrtweetbot,True,13,1572105642.0,3
FHPythonUtils/MiniEncoding,True,1,1598212801.0,1
FightPandemics/FightPandemics,True,2396,1592504133.0,1734
FightPandemics/FightPandemics-android,True,205,1592537662.0,126
FightPandemics/FightPandemics-iOS,True,194,1595287387.0,194
filiph/egamebook,True,2841,1554509213.0,2055
FilipMalczak/glue-d,True,118,1588622929.0,91
findlocal/findlocal.help,True,380,1588167335.0,277
finnerds/webhooks,True,49,1530714321.0,44
first-touch/first-touch,True,371,1557404911.0,310
fisker/eslint-config-fisker,True,309,1553739997.0,240
fisker/fast-cartesian-product,True,618,1562752896.0,10
fisker/git-hooks-list,True,238,1581989806.0,94
fisker/import-esm,True,170,1582253758.0,52
fisker/promise-synchronizer,True,763,1569825400.0,412
fisker/serve-directory,True,854,1552807182.0,34
fisker/shared-configs,True,1491,1583924024.0,1221
fisker/typescript-estree-for-node-6,True,37,1571710675.0,18
fisker/write-prettier-file,True,531,1582048233.0,324
flavienbwk/reactjs-flask-ldap-boilerplate,True,77,1586304145.0,30
Flor91/dot-files,True,4,1563285801.0,1
Flor91/jetbrains-python-academy,True,22,1593103677.0,15
fluffy-mods/BackupPower,True,33,1590168305.0,21
fluffy-mods/CommandPalette,True,55,1587744296.0,1
fluffy-mods/ModManager,True,226,1597444499.0,192
fluffy-mods/MusicManager,True,3,1589487402.0,1
folfy/cozy-host,True,69,1598869625.0,69
forestgeo/fgeo.analyze,True,175,1547160793.0,51
forestgeo/fgeo.blog,True,140,1546808312.0,139
forestgeo/fgeo.plot,True,950,1549560868.0,900
forestgeo/fgeo.template,True,86,1548208191.0,69
fossapps/Feature.Manager.Ui,True,63,1596035733.0,36
fossapps/Micro.Auth,True,125,1582377411.0,113
franzbischoff/heads_thesis,True,31,1595475887.0,23
FredHappyface/.github,True,30,1585652694.0,25
FredHappyface/Python.NFFontPatcher,True,4,1586874164.0,1
freecloudio/web,True,314,1549222685.0,82
frenata/clatchet,True,15,1548088354.0,14
FRickReich/historyday,True,128,1572881901.0,119
FRickReich/widestsite,True,145,1572881025.0,119
frilox042/dotfiles,True,85,1591066418.0,79
frostmark/fake_chewy,True,6,1574340033.0,1
frou/GoFeather,True,301,1550500583.0,264
frou/st3-gitblame,True,162,1596301530.0,129
frou/STEmacsModelines,True,88,1594820232.0,88
fryeb/wmath.h,True,23,1594183150.0,16
funivan/PhpClean,True,269,1543237291.0,84
funivan/phpup,True,9,1566819835.0,2
funivan/probot-clean,True,29,1542709916.0,11
funky-cactus/prickly-poindexter,True,15,1517609849.0,8
fupy/micropython,True,10497,1535365868.0,9545
fvcproductions/fvcproductions.github.io,True,1250,1575010035.0,1163
fxliu/fxliu.github.io,True,42,1567639056.0,10
fxliu/hexo,True,150,1567598558.0,8
g59/bot,True,1485,1577701740.0,1301
gabelluardo/anime-dl,True,166,1594997208.0,106
gabrielecanepa/dribbble-copycat,True,3,1591287951.0,1
gabrielecanepa/zsh-custom,True,21,1588978067.0,6
gabywald/BioSilico,True,40,1596460230.0,17
gabywald/CyberFizzBuzz,True,27,1582735119.0,18
gabywald/ParselyGame,True,8,1586361155.0,3
gabywald/utilities,True,38,1592852297.0,20
Gagandeep39/angular-employee-maintenance-app,True,117,1585041972.0,41
Gagandeep39/spring-crm-rest-demo,True,10,1586547540.0,1
GameCult/Aetheria-Economy,True,132,1591496518.0,119
garrettgibo/custom-model-zoo,True,22,1591502161.0,15
garrettgibo/garrettgibo.github.io,True,30,1590393713.0,17
garygary1275/garygary1275.github.io,True,46,1543485731.0,41
GDG-GANDHINAGAR/devfest-organizer-app,True,18,1569614713.0,1
geoffreynyaga/ANGA-UTM,True,367,1578335821.0,217
getantibody/antibody,True,673,1545393008.0,605
GetOccasion/occasion-sdk-js,True,196,1527093748.0,73
GetOccasion/occsn-checkout,True,301,1551195068.0,269
gewaer/frontend-canvas,True,589,1554817937.0,346
gewaer/gewaer-api,True,142,1590726218.0,34
gewaer/mobile-canvas,True,235,1557498116.0,156
ghostxbh/blog-node-api,True,69,1560998440.0,13
ghostxbh/mall-admin-node,True,44,1559399536.0,13
ghostxbh/uzy-ssm-mall,True,37,1590746075.0,19
ghostxbh/uzykj.com,True,12,1576059994.0,11
ghostxbh/VUE-Study,True,32,1561537874.0,14
giant17/dotfiles_old,True,152,1572175624.0,146
giant17/dwm,True,10,1572080017.0,8
giant17/field_work,True,1,1572002639.0,1
giant17/morphing,True,21,1571751890.0,7
Giddius/Additions_for_Antistasi,True,98,1585180067.0,2
GideonLeGrange/HeliORM,True,262,1559995020.0,56
GideonLeGrange/java-yaml-config,True,33,1559631747.0,22
githubtraining/ci-circle,True,300,1544041487.0,15
githubtraining/release-workflow,True,435,1541538342.0,161
gklittlejohn/nswagexample,True,2,1587742609.0,2
gluonSquad/BookCycle,True,53,1591185931.0,52
gobl-software/flavour-ui,True,183,1578262100.0,182
Godson777/KekBotSharp,True,199,1583487634.0,46
goern/eve-dataverse,True,43,1564677396.0,19
gofunky/automi,True,233,1544442088.0,213
gofunky/orbtools,True,82,1543256481.0,79
gofunky/tuplip,True,109,1546810113.0,30
GoodPods/goodpods,True,239,1583535165.0,212
googleinterns/ddex-mead-parser,True,70,1591210886.0,19
googleinterns/filesystem-in-appsscript,True,101,1591254874.0,3
googleinterns/smart-home-insurance-discounts-app,True,70,1591171218.0,15
Gopinath001/Rinku-Frontend,True,176,1587224959.0,33
goreleaser/goreleaser,True,2571,1513768753.0,1272
goreleaser/nfpm,True,358,1518820739.0,39
goreleaser/pipesh,True,4,1516574751.0,4
gr2m/octokit-rest-browser-experimental,True,1303,1518659036.0,1239
GradyCongdon/clocks,True,7,1583292087.0,2
GradyCongdon/gradycongdon.github.io,True,42,1582568700.0,37
Growstuff/growstuff,True,8796,1578898770.0,8274
gspalato/cpbdark,True,11,1585852927.0,2
gt-big-data/bus-route-optimizer,True,30,1550356063.0,20
gtkatakura/codesandbox-create-react-app,True,9,1551362122.0,3
guilhermesteves/go-todo-api,True,51,1559112804.0,9
guillainbisimwa/AWS-Machine-learning-Foundations-course,True,20,1592517286.0,6
guillainbisimwa/bomoko-app,True,116,1579870499.0,11
guillainbisimwa/bomoko-backend,True,33,1579621249.0,14
guillainbisimwa/Intel-Edge-AI-Foundation-Course,True,22,1577715310.0,4
guldmann/Sharp-tail,True,89,1561321437.0,5
gunn-capstone/stanford-ocr,True,95,1570844044.0,31
gushernobindsme/github-todo-test,True,7,1594819357.0,3
HackSoc/philmnight,True,191,1591974978.0,191
hacs/integration,True,1022,1558380660.0,6
HALLODEERE/yikes_i_fell,True,41,1561168882.0,32
hamonikr/democratization-expertise,True,206,1595473350.0,97
hanhdt/esp32-flash-tool,True,195,1555338353.0,23
hanhuoer/vin-api,True,10,1566824097.0,1
HanntoHAN/Dockerfiles,True,5,1586965069.0,2
hawkins/awesome-mobx-bot,True,22,1521400833.0,12
hawkins/cointoss,True,58,1598484334.0,50
hawkins/dotfiles,True,76,1545401690.0,64
hawkins/druid,True,58,1589375968.0,57
hawkins/is,True,75,1525569621.0,68
hawkins/Kitchen,True,60,1546214789.0,42
hawkins/lard,True,65,1540520476.0,38
hawkins/mios,True,12,1553208971.0,12
hawkins/network-simulation,True,7,1526527729.0,5
hawkins/resume,True,32,1521475993.0,21
hawkins/threat,True,9,1547178967.0,9
hawkins/Touchdown.vim,True,22,1535633227.0,17
hawkins/watchdog,True,28,1545184922.0,16
heartexlabs/label-studio,True,293,1565291530.0,50
heartexlabs/pyheartex,True,159,1558512263.0,59
heinrichreimer/gradle-github-release,True,120,1552514542.0,120
heinrichreimer/knjigica-server,True,149,1542704267.0,36
heinrichreimer/latex-postage,True,9,1527722079.0,1
heinrichreimer/song-analysis,True,82,1529621129.0,2
hellomouse/GNS,True,545,1550098837.0,298
heptastique/onlygo,True,650,1524581950.0,22
heptastique/onlygo-app,True,317,1525114213.0,141
high-mood/PSE-Frontend,True,242,1561627414.0,129
high-wizard/Corporate-website,True,134,1582528611.0,44
hildamari/Marianne,True,303,1575708582.0,25
hjking/hugo_src,True,6,1581345621.0,5
HolisticWare/HolisticWare.Core.Math.Discrete.GraphTheory,True,25,1593502597.0,11
HolisticWare/HolisticWare.Core.Math.Statistics.Inferential.Sequential,True,5,1585221983.0,3
hrzndev/valkyrie-integrations,True,6,1597269296.0,4
hrzndev/valkyrie-microservices,True,28,1598405632.0,22
hsmfawaz/MyCarApi,True,68,1586514539.0,2
HsuanTingLu/ansi-escape,True,73,1570541713.0,19
HsuanTingLu/fmindex,True,78,1576033817.0,26
HsuanTingLu/homebrew-utils,True,29,1574138003.0,20
HsuanTingLu/pbar,True,103,1578579571.0,96
HughParsonage/grattan,True,2093,1572967885.0,2040
hugmouse/godevto,True,9,1570704719.0,3
hvgab/EmployeeDirectory,True,6,1572363143.0,2
hvgab/HappeningsTV,True,21,1578078254.0,19
hvgab/netrunner,True,3,1578272216.0,2
iamprovidence/Lama,True,52,1579037753.0,8
iamprovidence/Resume,True,13,1557581631.0,5
iantrich/aftership-card,True,31,1566875301.0,10
iantrich/config-template-card,True,55,1566875874.0,30
iantrich/podcast-card,True,36,1567049572.0,20
ibrokemypie/fedi,True,288,1547305982.0,1
ibrokemypie/fedisend,True,1,1545646551.0,0
ibrokemypie/mastalab,True,7411,1546005464.0,7341
icco/archiver,True,2,1530331495.0,2
icco/charts,True,119,1545894355.0,51
icco/cron,True,248,1546814673.0,13
icco/gotak,True,187,1525229914.0,6
icco/graphql,True,680,1539744775.0,240
icco/writing,True,1033,1546116466.0,380
ideahackers/ideahack.club,True,106,1565840050.0,51
iftekharkhan09/CalenderApp,True,14,1564482963.0,1
ignatandrei/AOP_With_Roslyn,True,174,1581749792.0,150
ignatandrei/CatalogRo,True,39,1518345521.0,1
ignatandrei/Decl230,True,44,1523275548.0,1
ignatandrei/EFRecordAndPlay,True,22,1570352043.0,16
ignatandrei/generateApp,True,257,1597016083.0,98
ignatandrei/IdentIntegra,True,27,1580161131.0,26
ignatandrei/InfoValutar,True,191,1575021618.0,110
ignatandrei/IsThisTaxiLegal,True,106,1516735246.0,33
ignatandrei/LibPub,True,26,1519595422.0,1
ignatandrei/netCoreAlphabet,True,92,1552171632.0,8
ignatandrei/NETCoreBlockly,True,551,1586871591.0,4
ignatandrei/Presentations,True,134,1553415671.0,12
ignatandrei/SimpleBookRental,True,150,1578348999.0,64
ignatandrei/stankins,True,1434,1543391029.0,539
ignatandrei/testJaeger,True,35,1592774372.0,2
ignatandrei/tools,True,12,1554705759.0,2
ignatandrei/WebAPI2CLI,True,251,1583364683.0,3
iiitv/getmein-web,True,105,1557067908.0,60
ikeay/cs50,True,121,1592970887.0,116
ilicmarko/homemau,True,34,1552819564.0,8
ImageWare/TLSential,True,275,1586992473.0,45
ImedAdel/attrcss,True,27,1584443418.0,16
ImedAdel/imedadel.me,True,13,1565964989.0,0
imjoehaines/sihae,True,947,1541939147.0,505
imjohnbo/playground,True,73,1553883787.0,2
imolorhe/altair,True,3899,1538225927.0,1189
ImpressCMS/impresscms,True,5036,1557866273.0,4711
imranfawan/WebApp,True,69,1557593058.0,69
infojam/cyc-RA,True,14,1567593844.0,4
infra-tools/gcp-auto-graph,True,8,1589425979.0,4
initiativaromania/HBP-iOS,True,48,1528368723.0,46
innerken-gmbh/Aves,True,1337,1581770993.0,295
inthepocket/hubble-scripts,True,434,1566311216.0,311
inthepocket/hubble-sketch-plugin,True,95,1551191970.0,70
introvertsgo/SupaDo,True,8,1591216684.0,4
ioalex/jarvis,True,5,1598014133.0,5
ioalex/nvim,True,11,1598867836.0,1
ioalex/zshrc,True,2,1599278621.0,1
ioncloud64/freemegb,True,122,1561998763.0,0
iotexproject/iotex-core,True,2190,1598980858.0,2183
iotexproject/iotex-core-rosetta-gateway,True,109,1597352367.0,91
iotexproject/iotex-studio,True,90,1598439931.0,89
ipld/js-ipld-stack,True,41,1554265282.0,4
ipld/js-path-level-one,True,13,1557200027.0,1
ipld/js-schema-gen,True,84,1566432874.0,1
ipld/js-unixfsv2,True,69,1543871693.0,10
irkvuz/schedule,True,879,1548134263.0,196
ironstein0/dotfiles,True,20,1567621047.0,11
ironstein0/meme,True,12,1553072528.0,5
ironstein0/thought,True,3,1548995362.0,3
IsaiahByDayah/cra-typescript,True,16,1570659526.0,2
IshanManchanda/DankBot,True,237,1589210124.0,211
IshanManchanda/digits,True,70,1590243239.0,36
IshanManchanda/dj-bootstrap-components,True,46,1589396161.0,8
ivan-nginx/test-ground,True,88,1554107669.0,32
iykekings/Challenges,True,11,1592850635.0,6
iykekings/deno_doctest,True,21,1591141493.0,3
iykekings/Rustlings,True,2,1586295757.0,2
iykekings/shotterAPI,True,57,1582593576.0,3
iykekings/shotterweb,True,28,1584122620.0,11
iykekings/softpay,True,28,1581569370.0,12
j10wy/hangman-cli,True,31,1508823470.0,11
j10wy/jl,True,74,1511893758.0,17
j10wy/mongo-news,True,32,1515205460.0,11
j10wy/sandbox,True,122,1551895727.0,79
j10wy/syringe-disposal,True,57,1528823073.0,6
j420247/actions,True,1,1574266497.0,1
j420247/expert-couscous,True,1,1572419173.0,1
JaanJah/AutoClicker,True,12,1552588028.0,3
JaanJah/C-sharp-tris,True,3,1551558959.0,2
JaanJah/elixir-shenanigans,True,8,1572538901.0,2
JaanJah/elixir-table-creator,True,3,1575653866.0,1
JaanJah/filesystem-cli,True,3,1573761274.0,1
JaanJah/HWMonitor,True,48,1554790385.0,43
JaanJah/login-graphql,True,16,1591695622.0,5
JaanJah/NotesFragment,True,28,1548140968.0,8
JaanJah/RBB,True,3,1573232517.0,1
Jack5079/dogeminer-2-cheats,True,163,1590638129.0,146
Jack5079/nightcore-generator,True,8,1586929049.0,2
JackDTaylor/dpr,True,44,1598374461.0,44
Jacksole/Artificial-Intelligence,True,5,1559655852.0,2
Jacksole/learning_Linux,True,6,1557837844.0,6
Jacksole/Python_Tweepy,True,9,1560180216.0,2
Jacksole/Q-Learning,True,10,1559847985.0,3
Jacksole/RosettaCode,True,3,1589308790.0,2
Jacksole/Word_Count,True,52,1559066340.0,1
Jaeyoung-Lim/mavros_swarm,True,53,1554883335.0,21
Jaeyoung-Lim/mav_hilbertmap_planning,True,272,1554909373.0,218
JairEscamilla/Algoritmos-a-fondo,True,133,1564196422.0,115
JairEscamilla/EDOS,True,25,1568222723.0,19
JairEscamilla/online-store,True,46,1594743257.0,20
JanaJarecki/cognitivemodels,True,461,1586553348.0,291
JanaJarecki/RRC,True,9,1587650688.0,4
JaneJeon/objection-authorize,True,332,1578038374.0,155
jarvaang-enterprises/fooDelivery,True,20,1598312093.0,20
JasonEtco/ci-reporter,True,143,1517426682.0,60
JasonEtco/failing-repo,True,5,1519284643.0,5
JasonEtco/todo,True,717,1507097134.0,95
jasontmiani/jasontmiani.com,True,63,1592180166.0,51
jaumebonet/RosettaSilentToolbox,True,410,1522238892.0,91
javaniuniu/BestPractices,True,6,1576049880.0,2
javaniuniu/leetcode,True,36,1589023370.0,23
javaniuniu/litemalls,True,58,1584626211.0,11
javaniuniu/RuoYis,True,9,1583818205.0,3
javaniuniu/stockApi,True,5,1561716189.0,2
javaniuniu/tank,True,30,1599146805.0,12
javascripto/kotlin,True,4,1559346093.0,1
javascripto/micro-frontend-react-vue,True,1,1583763672.0,1
javascripto/spring-api,True,5,1562276051.0,1
javascripto/tw-semana-java,True,22,1562174058.0,1
jawil003/DeliveryTool,True,193,1558866042.0,111
JayWiz/demoCetaTest,True,15,1584613011.0,9
jazeem-azeez/ET_Tool,True,41,1564353563.0,26
jazeem-azeez/MsWRpc,True,13,1559070550.0,5
jazwiecki/jimjazwiecki.com,True,1274,1569122814.0,463
jazwiecki/skub,True,19,1569292533.0,19
jeanluc243/dart-calculator,True,2,1586352192.0,1
jeanluc243/dart_humanize,True,5,1571590994.0,1
jeanluc243/splashy,True,15,1593011715.0,1
Jeff-Tian/doc-rotary,True,11,1574507715.0,2
Jeff-Tian/keycloak-services-social-weixin,True,31,1590914163.0,26
Jeff-Tian/newton,True,3,1554266564.0,2
Jeff-Tian/perceptron,True,13,1563708180.0,10
JennerChen/zq-blog,True,488,1566268223.0,378
jeremyBanks/speedruns,True,1606,1557261276.0,594
jferragut/todo-list-api,True,128,1582511170.0,128
jfl88/brewberry,True,174,1593058043.0,109
jflopezfernandez/books-notebooks-mathematics-abstract-algebra,True,3,1584799383.0,1
jflopezfernandez/books-notebooks-mathematics-ahlfors-complex-analysis,True,2,1584800079.0,1
jflopezfernandez/books-notebooks-mathematics-bloch-real-numbers-and-real-analysis,True,10,1584899654.0,1
jflopezfernandez/books-notebooks-mathematics-brown-churchill-complex-variables-and,True,2,1584985672.0,1
jflopezfernandez/books-notebooks-mathematics-callahan-advanced-calculus,True,3,1584943139.0,1
jflopezfernandez/books-notebooks-mathematics-lang-algebra,True,3,1584830372.0,1
jflopezfernandez/books-notebooks-mathematics-lax-and-terrell-multivariable-calculus,True,2,1584940628.0,1
jflopezfernandez/books-notebooks-mathematics-lee-top,True,3,1585933874.0,1
jflopezfernandez/books-notebooks-mathematics-munkres-topology,True,2,1584800455.0,1
jflopezfernandez/books-notebooks-mathematics-rudin-principles-of-mathematical-analysis,True,24,1584465859.0,1
jflopezfernandez/books-notebooks-mathematics-stewart-calculus-et-7,True,7,1584934277.0,1
jflopezfernandez/books-notebooks-mathematics-strang-differential-eq-and-la,True,2,1585426512.0,1
jflopezfernandez/books-notebooks-mathematics-strang-intro-linear-algebra-5,True,2,1585425125.0,1
jflopezfernandez/books-notebooks-mathematics-tenenbaum-pollard-ode,True,4,1585427229.0,1
jflopezfernandez/books-notebooks-mathematics-zachmanoglou-thoe-intro-pde-wa,True,2,1585426941.0,1
jflopezfernandez/books-notebooks-physics-university-physics-young-freedman-11,True,2,1585688092.0,1
jflopezfernandez/canonical-dbconn-mariadb-c,True,2,1588224762.0,2
jflopezfernandez/exists,True,2,1581215884.0,2
jflopezfernandez/latex-documents-bibliography,True,3,1583878447.0,1
jflopezfernandez/mat-420-final-project-paper,True,2,1596840113.0,1
jflopezfernandez/mat-420-final-project-simulation,True,7,1596834152.0,5
jflopezfernandez/options,True,2,1567829268.0,2
jflopezfernandez/password,True,3,1579224543.0,2
jflopezfernandez/reperl,True,7,1596963732.0,2
jflopezfernandez/xoracle,True,12,1579636413.0,4
jimmyandrade/.com,True,287,1584048905.0,192
jizongFox/deep-clustering-toolbox,True,355,1556917369.0,11
jjozwiak/futureprogrammersofukraine.com,True,9,1519309763.0,3
jjozwiak/jjozwiak.github.io,True,22,1527347868.0,21
jkbhagatio/pl_idioms_matlab,True,13,1581862779.0,13
jkurian/restapi,True,24,1529814023.0,3
jmartz-gmbh/anton-build,True,14,1586196337.0,10
jmartz-gmbh/laravel-migration-tasks,True,5,1588334706.0,1
JobCore/api,True,1043,1545410900.0,86
JobCore/employer-web-client,True,635,1579034822.0,235
jodfedlet/MJcodeSite,True,7,1598161475.0,6
joely-w/TripOut,True,187,1567793771.0,29
JohnMushatt/DongBoyAdvance-DBA,True,62,1589692461.0,11
JoinColony/colonyDapp,True,6892,1556182130.0,3818
jonasbn/bdkfi,True,127,1550075741.0,123
jonasbn/bdkphn,True,128,1550075789.0,124
jonasbn/bdkpo,True,86,1550075835.0,82
jonasbn/bdkpst,True,253,1550096687.0,240
jonasbn/Module-Info-File,True,86,1550096797.0,77
jonasbn/Mojolicious-Plugin-CSP,True,9,1550180999.0,8
jonasbn/Mojolicious-Plugin-LogDispatch,True,55,1550181076.0,54
jonasbn/pcplrpnp,True,74,1550074904.0,70
jonasbn/pcplrpv,True,34,1550075398.0,31
jonasbn/pcplrsb,True,94,1550075019.0,90
jonasbn/pcpmpul,True,53,1550075116.0,50
jonasbn/pcpmrvf,True,104,1550074824.0,100
jonasbn/perl-business-dk-cvr,True,119,1550075653.0,96
jonasbn/perl-critic-policy-builtinfunctions-prohibitshelldispatch,True,75,1549983182.0,71
jonasbn/perl-critic-policy-inputoutput-prohibithighprecedentlogicaloperatorerrorhandling,True,25,1548400181.0,3
jonasbn/perl-critic-policy-module-moduleblacklist,True,86,1549913559.0,76
jonasbn/perl-critic-policy-regularexpressions-requiredefault,True,97,1547481312.0,63
jonasbn/perl-date-holidays,True,396,1526027834.0,280
jonasbn/perl-date-holidays-abstract,True,104,1550096890.0,47
jonasbn/perl-date-holidays-super,True,60,1550096935.0,36
jonasbn/perl-test-timer,True,357,1511449417.0,306
jonasbn/terms_and_conditions_as_a_service_poc,True,56,1569425322.0,36
jonasbn/til,True,705,1568140857.0,426
jonasbn/yak,True,26,1568147070.0,17
jonathan-martz/jmartz-api-borat,True,129,1577575014.0,48
jonathan-martz/jmartz-resume,True,117,1579132483.0,3
jonathan-martz/lumen-command-borat-requirements,True,12,1578182229.0,2
jonathan-martz/lumen-controller,True,31,1583693958.0,30
jonathan-martz/lumen-controller-borat,True,35,1577920969.0,32
jonathan-martz/lumen-controller-borat-cache,True,10,1577920725.0,6
jonathan-martz/lumen-controller-cookies,True,14,1577987055.0,7
jonathan-martz/lumen-controller-login,True,54,1577301639.0,29
jonathan-martz/lumen-controller-projects,True,24,1583357957.0,13
jonathan-martz/lumen-controller-register,True,39,1577314165.0,12
jonathan-martz/lumen-controller-tasks,True,8,1583533087.0,1
jonathan-martz/lumen-controller-todo,True,39,1577568163.0,32
jonathan-martz/lumen-cronjob-user-activate,True,12,1577724945.0,1
jonathan-martz/lumen-exeception-to-json,True,28,1577980681.0,18
jonathan-martz/lumen-middelware-auth,True,31,1577307779.0,18
jonathan-martz/lumen-middelware-auth-token,True,10,1578269469.0,2
jonathan-martz/lumen-model-role-admin,True,14,1577649777.0,5
jonathan-martz/lumen-model-role-user,True,15,1577906461.0,5
jonathan-martz/magento2-supportform,True,15,1582385793.0,11
jonathan-martz/magento2-webapi-manager,True,12,1582676060.0,4
jonathan-martz/magento2-webapi-stats,True,20,1581901423.0,10
jonathan-martz/vanillo-vue,True,17,1583624560.0,5
jonathan-martz/worktime,True,30,1576572404.0,8
jongwon/react-native-todos,True,7,1588432180.0,4
jonocarroll/ggghost,True,47,1526990084.0,47
jonocarroll/jcarroll.com.au,True,80,1570844910.0,74
jonocarroll/tidyGDPR,True,16,1527304586.0,13
JoshuaCrocker/JRedis,True,5,1529477996.0,5
JoshuaCrocker/ParsifalCollege,True,21,1520005547.0,18
JoshuaCrocker/PoolStats,True,163,1523803977.0,124
joshwilsonvu/mm,True,91,1583203455.0,36
joshwilsonvu/node-zero,True,10,1580094555.0,3
joshwilsonvu/react-sandbox,True,6,1548566277.0,3
joxcat/dotfiles,True,20,1568883988.0,0
julia-diversity-and-inclusion/juliaCluBR,True,70,1553717599.0,6
juniorkibirige/GADS-2020-Practice-Project,True,7,1599130986.0,1
jvkdev/bb15-footswitch,True,12,1576720001.0,11
jwu910/check-it-out,True,309,1523604064.0,52
kakuzops/elixir-identicon,True,1,1596806312.0,1
kammerdiener/rt-coding-test,True,4,1564367689.0,3
Kanaries/data-explaining-tool,True,14,1595567495.0,5
Kanaries/Rath,True,179,1579408416.0,141
Kanaries/visual-insights,True,12,1595231396.0,7
kapral18/reset-modules-issue-demo,True,10,1569740182.0,2
karx/karx.github.io,True,660,1559938518.0,182
karye/NTI-backend,True,16,1590150231.0,9
kaylani2/machineLearning,True,219,1589596714.0,36
KazuwoKiwame12/book_store_app_api,True,13,1596869826.0,11
kellymears/BlockCompose,True,27,1557092675.0,1
kellymears/tailwind-gutenberg-components,True,16,1558811961.0,3
kellymears/wp-block-styles-project,True,5,1551381219.0,3
KepAlex-404/OOP_Alex_Gryshyn,True,21,1592737835.0,21
KepAlex-404/Project_KL,True,24,1592738946.0,2
ketkev/F-35-Conversion,True,13,1598116093.0,3
ketkev/VTOLVR-translation-tool,True,13,1598101290.0,11
kevlatus/flutter_fortune_wheel,True,24,1594057578.0,1
keyneston/rbgp,True,12,1575847810.0,7
keyneston/stepcompiler,True,57,1569961250.0,43
kguidonimartins/brokennonascii,True,1,1585930796.0,1
kguidonimartins/hea,True,194,1544715652.0,14
kguidonimartins/minimalTemplate,True,95,1544193541.0,24
kguidonimartins/py-ds-ml-bootcamp-joseportilla,True,49,1559518222.0,1
kguidonimartins/wttd,True,99,1558662395.0,3
Kibibit/announce-it,True,91,1554148529.0,34
Kibibit/tdd1t,True,69,1547050282.0,36
kichiemon/flutter_backdrop,True,4,1587997160.0,2
koddsson/jsonresume,True,133,1521239664.0,94
KomodoPlatform/antara-gaming-sdk,True,913,1568354568.0,56
KomodoPlatform/atomicDEX-Pro,True,3662,1575560134.0,16
KomodoPlatform/dPoW,True,461,1583330755.0,191
komondor-lab/plugin,True,39,1522476842.0,14
KOMORG/hobbied-be,True,13,1561880114.0,1
kompanycoder/airhorn,True,1,1582151187.0,1
KoStard/TrackAndTraceLuxMonitor,True,4,1593080985.0,4
Kotlin-Discord/api,True,21,1592403907.0,2
Kotlin-Discord/bot,True,75,1591700869.0,50
Kotlin-Discord/database,True,11,1591870465.0,4
Kotlin-Discord/site,True,62,1592671263.0,54
Krityug/BanX,True,1,1579921285.0,1
Krityug/TownyPlus,True,7,1577321030.0,6
krosf-university/EDNL,True,89,1558800302.0,47
krosf-university/pw-symfony-doc,True,7,1587817034.0,2
Krypton-Suite/Standard-Toolkit,True,25,1589197078.0,20
Krypton-Suite-Legacy/Krypton-NET-5.400,True,44,1567265989.0,33
Krypton-Suite-Legacy/Krypton-NET-5.450,True,39,1567269245.0,32
Krypton-Suite-Legacy/Krypton-NET-5.451,True,26,1567328541.0,20
Krypton-Suite-Legacy/Krypton-NET-5.452,True,25,1567328625.0,18
Krypton-Suite-Legacy/Krypton-NET-5.460,True,30,1567328740.0,22
Krypton-Suite-Legacy/Krypton-NET-5.461,True,22,1567328828.0,16
Krypton-Suite-Legacy/Krypton-NET-5.462,True,20,1567328911.0,13
Krypton-Suite-Legacy/Krypton-NET-5.470,True,709,1566126174.0,643
Krypton-Suite-Legacy/Krypton-NET-5.471,True,94,1567337616.0,85
Krypton-Suite-Legacy/Krypton-NET-5.472,True,55,1569605580.0,46
Krypton-Suite-Legacy/Krypton-NET-5.480,True,49,1567337721.0,39
Krypton-Suite-Legacy/Krypton-Toolkit-Suite-Extended-NET,True,39,1580555894.0,14
Krypton-Suite-Legacy/Krypton-Toolkit-Suite-Extended-NET-5.470,True,564,1560581191.0,361
Krypton-Suite-Legacy/Krypton-Toolkit-Suite-NET-Core,True,129,1578130923.0,22
ksomervi/invader,True,119,1551039797.0,95
